field.h.x,field.h.y,field.h.z,field.n.x,field.n.y,field.n.z,field.t.x,field.t.y,field.t.z,field.rs.x,field.rs.y,field.rs.z,field.re.x,field.re.y,field.re.z,field.rh.x,field.rh.y,field.rh.z,field.ls.x,field.ls.y,field.ls.z,field.le.x,field.le.y,field.le.z,field.lh.x,field.lh.y,field.lh.z
1.8040135781,0.1718435558,0.3456975361,1.7683239224,0.170012782,0.1225484973,1.7253069553,0.1682733357,-0.1116273243,1.7683224461,0.3380476026,0.1213004428,1.7502605702,0.582804952,-0.0622160772,1.6224847684,0.7822085354,0.1581861179,1.7683253987,0.0019779789,0.1237965518,1.7243533721,-0.2434499954,-0.0499110351,1.5947939794,-0.4030747084,0.2043894057
1.7995109278,0.1696566496,0.3531158876,1.7586434051,0.1701177269,0.1293729804,1.7129643241,0.1700862786,-0.1043122003,1.758179165,0.3381672553,0.1294409295,1.7413285393,0.5144235105,-0.1371401853,1.5590472967,0.7609946183,-0.1876400041,1.7591076451,0.0020681934,0.1293050314,1.7085480548,-0.1941846726,-0.1388751723,1.514712388,-0.4491790675,-0.1207681829
1.7875677396,0.1596947985,0.3565237379,1.7472638176,0.1621298769,0.1353388731,1.7019531343,0.1649275773,-0.0984002183,1.753197164,0.3300372626,0.1361982415,1.7144322114,0.4639224352,-0.1782812303,1.5593959024,0.595812979,-0.4266934721,1.7413304713,-0.0057774763,0.1344795046,1.6814299127,-0.1402121923,-0.1786114008,1.5392162274,-0.2986360698,-0.4204500203
1.7765631503,0.1486170909,0.3588914235,1.7351623054,0.1512742874,0.1381581924,1.6910664637,0.1544152235,-0.0958088697,1.7485506052,0.3187604511,0.1378831646,1.7008917139,0.4098396218,-0.1910151589,1.5965395007,0.4380819447,-0.5060805715,1.7217740056,-0.0162119068,0.1384332203,1.664299878,-0.1022969873,-0.1820512488,1.5648098989,-0.1555648851,-0.4981310836
1.7660052354,0.1351426411,0.3640629101,1.7266829932,0.1401903024,0.1428572287,1.6863997586,0.1468137201,-0.0917121271,1.7447904177,0.3072395938,0.1444642941,1.70255653,0.3679400917,-0.1938938881,1.5807344047,0.3473980183,-0.5085807575,1.7085755687,-0.0268589851,0.1412501633,1.6541239495,-0.0933476991,-0.1799607573,1.5544604131,-0.0975538605,-0.5061768524
1.7595195618,0.1230985575,0.3640413885,1.7215447366,0.1268300922,0.142841119,1.6834441221,0.1322380867,-0.0921361427,1.741344541,0.2937062865,0.1434711427,1.6896279527,0.3495624502,-0.2091482046,1.5527460692,0.3194567839,-0.518039395,1.7017449322,-0.0400460944,0.1422110953,1.6392669683,-0.1120119001,-0.1783356722,1.5342108248,-0.1078422573,-0.5040783589
1.753110534,0.1121608356,0.3612182004,1.7156771012,0.1125785829,0.1396002043,1.6767393389,0.1152602178,-0.0952884313,1.7328752142,0.279742083,0.1386575142,1.6807824414,0.3389633272,-0.2007420137,1.5257815624,0.3109381912,-0.501289418,1.6984789883,-0.0545848828,0.1405428944,1.6324283242,-0.1368329625,-0.1756686244,1.5045862293,-0.1404941682,-0.493082431
1.7463894824,0.1056203675,0.3594940124,1.709869628,0.1053579271,0.1383357298,1.6707193457,0.1068663664,-0.0965290251,1.7265074353,0.2725736941,0.1366361142,1.6747642433,0.3357731195,-0.2065415827,1.5028896113,0.309693936,-0.4980121733,1.6932318207,-0.0618578437,0.1400353454,1.633526304,-0.1537034571,-0.1709249761,1.4877778863,-0.1630033089,-0.4805608238
1.7485652997,0.0992855595,0.3629812786,1.7095212766,0.0988559422,0.1419918132,1.6671181859,0.1011632739,-0.0922952319,1.7255117465,0.2661406765,0.1407450351,1.6812214222,0.3379882617,-0.1973628954,1.5032878255,0.3164108564,-0.4856179792,1.6935308068,-0.068428815,0.1432385913,1.6410041475,-0.1693756861,-0.1701616369,1.4871115845,-0.1801486818,-0.4759235533
1.7434151727,0.0925412474,0.3615309496,1.7057925263,0.0942768498,0.139971548,1.6640747353,0.097283029,-0.0944378828,1.7223071678,0.261514261,0.1391769927,1.683478028,0.3424149362,-0.1891356088,1.5070414569,0.3314351621,-0.4789416014,1.6892778847,-0.072960546,0.1407661185,1.6469393936,-0.1850033346,-0.1679707865,1.4924860372,-0.1949203143,-0.4735164685
